%E,N(m),G(m/s2):
1.00,-1.166597119117,-0.012738633319
2.00,-1.166597119117,-0.012738633319
3.00,-2.098368368511,-0.066715016239
4.00,-3.263877797200,-0.118665788611
5.00,-5.115388990775,-0.356048906189
6.00,-6.239445793744,-0.668470760114
7.00,-8.738398927988,-1.254142178767
8.00,-10.359225073198,-1.455885542427
9.00,-11.743595763747,-1.664494725230
10.00,-13.372787476351,-1.780736461976
11.00,-15.440755827008,-2.146122423229
12.00,-17.252427202845,-2.595890441674
13.00,-18.844480153606,-2.960781082487
14.00,-20.631074469120,-3.501637067216
15.00,-22.543742734860,-4.368643471593
16.00,-24.122731680616,-4.786461239237
17.00,-25.640831962597,-5.389079950883
18.00,-27.407577846687,-5.991619099401
19.00,-29.639062033097,-6.673471554294
20.00,-31.619925343545,-7.370738035147
21.00,-33.433567477912,-7.812492098957
22.00,-34.801923557624,-8.108467839711
23.00,-36.362345096550,-8.591026021316
24.00,-37.908129726795,-9.118593699134
25.00,-40.090412687646,-9.944478390374
26.00,-42.037886382268,-10.730192211528
27.00,-43.316692262984,-11.299977714545
28.00,-44.798704160268,-11.986576952881
29.00,-46.564755216996,-12.591149619708
30.00,-47.923393774401,-12.928938415162
31.00,-49.470964551404,-13.451243372005
32.00,-51.426596807445,-14.216424709424
33.00,-52.725737766775,-14.738184010050
34.00,-54.224372148331,-15.387701344843
35.00,-56.284586001014,-16.483129720255
36.00,-58.126646633101,-16.181041865220
37.00,-58.969882917611,-15.063476400253
38.00,-59.558455354575,-13.793207733220
39.00,-60.163742367878,-11.782330404409
40.00,-60.634078134376,-10.218181420287
41.00,-61.008707507687,-8.869236338880
42.00,-61.529632895582,-7.321200642255
43.00,-62.196521691674,-5.577726014366
44.00,-62.868169713550,-4.088878570037
45.00,-63.364781009771,-2.779918211406
46.00,-63.876584936159,-1.476823149281
47.00,-64.508772366201,0.525759945948
48.00,-64.235516939107,2.136073346917
49.00,-63.445314174781,2.632753024739
50.00,-61.750570362167,3.415241270052
51.00,-59.778476846820,4.136938690531
52.00,-58.457135644261,4.599602095631
53.00,-56.697454333253,5.222471366133
54.00,-54.685282356836,5.823440531165
55.00,-52.400149198839,6.295257121238
56.00,-50.825061374142,6.727548830929
57.00,-49.312302612674,7.343453618522
58.00,-48.011209321251,7.860325214778
59.00,-46.258352692967,8.502149244496
60.00,-44.324754060826,9.321414970488
61.00,-42.806947208156,9.924772356921
62.00,-41.114323944937,10.711837114902
63.00,-39.571978569329,11.249376434504
64.00,-38.493163094982,11.693525377338
65.00,-36.968401806562,12.279085614303
66.00,-35.192434121192,12.853875336694
67.00,-33.667696259685,13.439496572190
68.00,-32.183773160006,14.121955370958
69.00,-30.691696782830,14.786399396029
70.00,-28.646998556823,15.910522880797
71.00,-26.428550769760,16.633664540862
72.00,-24.745955751563,15.377132008559
73.00,-24.094668276752,13.627769533370
74.00,-23.618210893793,12.065474381998
75.00,-22.986090104671,10.309095222362
76.00,-22.357066290522,8.801744294737
77.00,-21.547248073904,6.613448405128
78.00,-21.002440187675,5.073655514873
79.00,-20.242242070623,3.368796791320
80.00,-19.453004446212,1.938803172456
81.00,-18.539221522245,0.585001656116
82.00,-17.877054505886,-1.160271757103
83.00,-18.434308912020,-2.444587733351
84.00,-20.101351242572,-3.721682040028
85.00,-21.803561280420,-4.487792627015
86.00,-23.673369486076,-5.443730529844
87.00,-25.321888608830,-6.319418343141
88.00,-26.726553408677,-7.152901743004
89.00,-28.958434127211,-8.420374123775
90.00,-31.179396017979,-10.125463059800
91.00,-32.577675665248,-10.969614589924
92.00,-33.434334998945,-11.340081723555
